years_by_quarter,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1991-10-01,154.36,131.66,139.31,133.70,228.85,135.90,236.10,231.17,157.47,163.07,263.96,136.74,177.66,148.16,125.61,121.83,151.19,108.04,232.35,209.63,284.90,155.88,146.02,129.85,150.15,131.05,131.49,156.13,193.95,230.49,140.43,281.27,167.81,115.9,152.64,106.29,144.87,202.86,250.1,169.02,132.88,151.28,121.04,127.7,213.76,190.4,188.20,109.15,145.62,95.72
1992-01-01,155.64,133.49,140.00,134.78,227.63,137.79,237.12,231.16,159.34,164.13,263.44,138.26,178.86,149.45,126.02,122.55,152.22,109.33,233.72,210.40,284.02,157.14,146.74,131.57,150.96,133.03,133.25,157.34,194.02,232.33,143.96,286.55,168.88,118.21,154.31,107.02,147.92,203.94,248.8,169.9,136.45,152.6,123.01,129.6,213.87,191.52,189.08,109.43,147.31,96.82
1992-04-01,155.80,134.71,139.70,134.13,225.28,140.88,232.46,229.55,157.92,164.41,262.89,139.63,180.44,150.77,128.07,123.07,153.46,110.41,228.91,209.05,280.54,158.17,147.58,131.72,151.31,135.30,135.06,156.89,189.78,230.41,144.78,282.60,169.22,118.44,155.35,106.96,149.76,203.57,245.38,170.13,136.57,152.16,122.57,131.63,214.52,189.79,190.83,111.44,149.93,98.28
1992-07-01,158.76,135.41,140.65,136.49,224.84,143.96,233.28,230.74,160.58,167.67,264.56,142.88,182.17,153.09,129.72,124.52,155.50,111.86,229.91,211.01,282.10,159.34,149.27,132.66,152.41,139.00,137.12,159.65,188.8,232.24,145.63,285.74,171.28,119.77,157.49,108.55,153.4,205.51,245.51,172.69,140.45,155.53,124.63,133.85,216.42,192.19,193.40,112.6,151.77,99.99
1992-10-01,160.12,135.93,141.49,137.14,222.74,146.66,233.09,232.80,160.66,167.97,265.47,146.77,183.80,153.90,130.86,124.86,156.81,112.97,231.46,211.69,282.76,160.57,150.24,133.13,153.36,143.44,138.12,160.59,189.02,233.63,147.95,287.77,172.05,120.83,159.02,109.04,156.3,206.83,246.48,173.29,142.14,155.34,125.15,137.36,216.72,192.84,195.39,113.85,153.74,102.37
1993-01-01,161.19,135.77,141.61,138.33,219.29,149.35,229.48,231.45,160.89,168.32,264.85,147.94,184.93,154.94,132.06,125.66,157.66,113.78,228.23,211.13,280.85,161.19,151.55,133.68,153.49,145.99,139.34,160.46,187.25,233.5,149.93,282.45,172.5,121.5,159.77,109.43,158.45,206.49,245.13,173.57,143.68,155.96,125.55,140.34,215.93,192.28,196.26,114.64,154.96,102.82
1993-04-01,162.92,136.30,143.33,140.60,217.40,153.00,230.10,232.42,162.62,170.21,266.14,152.78,186.63,156.50,133.97,126.60,159.50,115.83,231.12,211.80,282.60,162.43,153.01,135.82,154.43,150.11,141.07,161.9,189.47,235.11,153.47,289.11,173.99,124.45,161.61,111.41,161.61,207.94,245.36,175.21,147.37,158.18,126.66,144.76,217.19,193.4,198.39,116.18,157.16,105.94
1993-07-01,165.82,138.78,144.49,143.16,215.56,157.33,230.08,231.94,163.92,171.37,265.17,156.94,188.56,158.39,136.67,128.37,160.70,117.86,229.44,212.49,283.58,163.86,154.95,137.59,155.53,152.74,143.28,163.14,189.76,235.69,156.46,288.19,175.83,126.76,163.55,112.94,165.38,208.69,244.66,177.35,150.07,160.25,128.12,149.98,217.56,193.78,201.08,118.71,159.40,108.71
1993-10-01,167.29,139.54,146.39,144.90,214.28,161.23,230.68,232.62,165.53,172.65,266.54,159.91,190.23,159.88,138.23,129.59,162.63,119.46,231.56,213.34,285.32,165.26,156.59,138.55,156.86,157.84,145.50,163.98,190.33,237.16,159.29,289.32,177.25,127.52,165.53,114.61,168.84,210.55,246.97,178.14,152.23,161.89,129.36,155.56,218.77,194.83,203.36,119.14,161.47,111.28
1994-01-01,168.38,140.70,148.41,147.70,212.16,165.95,228.74,231.66,165.33,173.20,267.33,160.97,192.85,161.61,140.82,131.72,165.32,121.57,231.45,213.73,285.50,167.11,157.54,140.82,158.52,160.19,147.40,164.18,190.81,237.8,164.07,286.01,178.88,129.15,167.41,115.16,173.13,210.49,245.59,179.09,155.98,163.62,129.98,161.83,219.44,195.08,205.89,121.54,165.71,113.85
1994-04-01,170.41,143.88,150.53,148.96,207.02,173.58,223.57,229.06,164.21,174.25,264.03,166.72,195.57,164.01,144.43,135.67,169.64,124.31,225.46,211.65,282.63,169.91,160.35,142.89,161.47,167.04,152.18,164.93,187.59,235.71,169.37,282.21,181.7,132.83,170.20,117.24,179.2,209.31,239.37,180.35,158.23,165.85,130.17,170.8,217.09,194.87,209.74,123,171.81,116.76
1994-07-01,171.14,145.85,152.48,150.81,203.96,177.90,220.67,226.72,164.48,174.89,265.82,168.70,197.29,165.91,147.14,137.31,171.09,125.53,224.02,209.70,282.37,173.25,161.66,144.24,163.98,171.08,155.72,165.53,184.77,233.48,172.99,280.70,184.13,134.48,171.18,117.39,183.61,207.64,234.92,181.12,159.52,168.4,130.28,176.57,217.51,194.53,211.08,124.88,175.55,120.33
1994-10-01,171.28,144.85,154.13,151.85,201.08,179.38,217.89,225.83,164.45,175.59,258.86,169.64,197.61,166.15,147.21,138.45,172.98,125.42,220.43,207.89,279.97,175.40,162.17,146.65,164.29,172.26,155.70,165.23,184.13,230.71,175.48,275.51,186.32,134.81,172.67,117.55,186.74,206.02,232.22,181.66,162.67,169.58,129.61,179.67,217.48,194.25,210.50,124.47,175.81,121.96
1995-01-01,172.84,147.11,156.10,152.63,199.75,182.68,216.69,226.46,165.01,176.52,257.62,170.62,199.60,168.21,148.93,139.80,174.91,126.91,222.58,207.98,281.74,178.56,163.76,146.72,166.42,173.95,157.72,166.47,184.94,230.58,176.85,274.17,187.84,137.32,173.62,118.21,190.89,205.43,234.16,183.23,160.49,172.07,129.57,184.34,215.05,193.72,212.60,125.95,177.98,123.75
1995-04-01,176.30,149.62,158.95,156.81,201.65,186.30,219.48,227.34,167.26,179.89,261.22,174.74,202.47,171.13,152.19,142.61,177.78,129.50,225.87,210.75,286.98,182.03,166.82,149.78,168.31,177.89,160.63,170.21,187.41,233.16,181.29,278.86,190.51,138.54,176.92,120.36,195.56,208.83,236.7,185.51,166.12,175.39,131.79,189.48,220.36,196.17,215.01,128.52,181.92,126.44
1995-07-01,179.07,151.14,162.01,158.78,203.98,190.02,224.80,231.06,170.41,182.28,261.71,177.85,204.90,174.16,154.32,143.98,180.26,131.49,230.14,213.18,291.69,185.33,169.86,152.19,170.64,181.79,162.97,172.66,191.3,237.11,184.61,283.53,193.69,140.26,180.01,122.37,200.47,212.45,240.88,187.92,167.24,177.96,133.4,195.96,220.47,198.46,218.17,130.79,184.40,127.90
1995-10-01,180.45,151.62,164.10,159.54,203.66,192.90,225.02,230.93,171.77,185.11,262.63,179.91,206.79,176.11,155.78,146.11,181.99,132.86,230.45,214.72,293.29,188.44,171.97,153.90,172.11,182.69,164.02,173.9,193.93,237.7,186,282.66,195.55,141.2,182.24,122.79,203.73,213.65,242.98,190.19,170.32,180.53,134.24,200.01,221.75,199.26,219.92,131.29,186.67,130.80
1996-01-01,183.61,154.03,166.66,161.87,203.63,195.27,227.98,233.76,173.60,187.27,257.28,182.11,208.98,178.30,157.90,146.59,184.19,134.78,235.65,217.33,296.90,191.13,174.32,154.80,173.66,185.42,165.93,175.84,194.82,240.8,187.26,287.46,197.92,144.57,184.85,124.44,207.72,216.36,245.59,192.92,173.1,183.39,135.6,204.62,225.58,201.36,221.91,133.02,188.16,132.32
1996-04-01,183.60,156.51,167.00,162.19,201.04,197.78,225.11,231.28,172.53,188.19,251.74,180.53,209.71,180.00,159.25,149.30,185.88,136.45,232.82,214.91,297.35,196.44,175.54,155.56,176.04,187.48,169.47,175.11,194.09,238.91,186.88,285.71,199.63,143.28,186.60,125.22,210.8,213.85,240.57,193.78,172.52,185.08,135.35,207.01,221.96,200.81,222.14,133.73,189.95,133.27
