state,year,quarter,price
AK,2007,2,287.97,,,,
AK,2007,3,286.9,,,,
AK,2007,4,286.32,,,,
AK,2008,1,286.19,,,,
AK,2008,2,286.63,,,,
AK,2008,3,282.94,,,,
AK,2008,4,285.68,,,,
AK,2009,1,286.28,,,,
AK,2009,2,283.46,,,,
AK,2009,3,282.24,,,,
AK,2009,4,283.82,,,,
AK,2010,1,279.47,,,,
AK,2010,2,281.93,,,,
AK,2010,3,283.61,,,,
AK,2010,4,284.3,,,,
AK,2011,1,284.18,,,,
AK,2011,2,283.52,,,,
AK,2011,3,284.42,,,,
AK,2011,4,286.41,,,,
AK,2012,1,284.39,,,,
AK,2012,2,283.71,,,,
AK,2012,3,286.71,,,,
AK,2012,4,288.9,,,,
AK,2013,1,292.32,,,,
AK,2013,2,292.86,,,,
AK,2013,3,296.03,,,,
AK,2013,4,297.25,,,,
AK,2014,1,294.52,,,,
AK,2014,2,300.52,,,,
AK,2014,3,304.32,,,,
AK,2014,4,303.46,,,,
AK,2015,1,306.29,,,,
AK,2015,2,309.21,,,,
AK,2015,3,312.99,,,,
AK,2015,4,314.14,,,,
AK,2016,1,314.56,,,,
AK,2016,2,316.87,,,,
AK,2016,3,318.39,,,,
AK,2016,4,316.78,,,,
AK,2017,1,318.51,,,,
AK,2017,2,319.06,,,,
AK,2017,3,322.66,,,,
AK,2017,4,323.27,,,,
AK,2018,1,321.68,,,,
AK,2018,2,324.81,,,,
AK,2018,3,324.66,,,,
AK,2018,4,324.6,,,,
AK,2019,1,327.52,,,,
AK,2019,2,331.69,,,,
AK,2019,3,334,,,,
AK,2019,4,334.12,,,,
AK,2020,1,337.48,,,,
AK,2020,2,340.51,,,,
AK,2020,3,344.81,,,,
AK,2020,4,348.46,,,,
AK,2021,1,351.34,,,,
AK,2021,2,364.22,,,,
AK,2021,3,381.51,,,,
AK,2021,4,386.83,,,,
AZ,1975,1,60.77,,,,
AZ,1975,2,60.11,,,,
AZ,1975,3,59.53,,,,
AZ,1975,4,56.48,,,,
AZ,1976,1,59.16,,,,
AZ,1976,2,62.83,,,,
AZ,1976,3,61.03,,,,
AZ,1976,4,61.22,,,,
AZ,1977,1,63.64,,,,
AZ,1977,2,64.01,,,,
AZ,1977,3,66.18,,,,
AZ,1977,4,70.13,,,,
AZ,1978,1,71.3,,,,
AZ,1978,2,74.08,,,,
AZ,1978,3,78.99,,,,
AZ,1978,4,83.14,,,,
AZ,1979,1,87.49,,,,
AZ,1979,2,92.61,,,,
AZ,1979,3,95.57,,,,
AZ,1979,4,99.13,,,,
AZ,1980,1,100,,,,
AZ,1980,2,98.75,,,,
AZ,1980,3,107.28,,,,
AZ,1980,4,107.85,,,,
AZ,1981,1,108.69,,,,
AZ,1981,2,112.15,,,,
AZ,1981,3,116.72,,,,
AZ,1981,4,109.9,,,,
AZ,1982,1,105.51,,,,
AZ,1982,2,109.36,,,,
AZ,1982,3,101.6,,,,
AZ,1982,4,108.81,,,,
AZ,1983,1,119.06,,,,
AZ,1983,2,119.25,,,,
AZ,1983,3,115.51,,,,
AZ,1983,4,113.16,,,,
AZ,1984,1,117.67,,,,
AZ,1984,2,121.86,,,,
AZ,1984,3,123.02,,,,
AZ,1984,4,122.6,,,,
AZ,1985,1,125.22,,,,
